Outlet,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Anytime Fitness Toa Payoh,Crowdedness,23,0.26137391304347823,43.48,8.7
Anytime Fitness Toa Payoh,Location/Accessibility,27,0.39930061728395067,66.67,11.11
Anytime Fitness Toa Payoh,Classes/Programs,7,0.27314571428571427,71.43,0.0
Anytime Fitness Toa Payoh,Price/Fees,30,0.41987500000000005,76.67,10.0
Anytime Fitness Toa Payoh,Policies/Contract,9,0.638438888888889,88.89,0.0
Anytime Fitness Alexis,Cleanliness,13,0.47710769230769223,76.92,0.0
Anytime Fitness Alexis,Staff/Service,27,0.4457111111111111,81.48,18.52
Anytime Fitness Alexis,Equipment,19,0.3585226315789473,68.42,5.26
Anytime Fitness Alexis,Crowdedness,9,0.15397222222222226,55.56,11.11
Anytime Fitness Alexis,Facilities,12,0.34736527777777776,75.0,8.33
Anytime Fitness Alexis,Location/Accessibility,4,0.1691625,75.0,0.0
Anytime Fitness Alexis,Classes/Programs,2,0.71325,100.0,0.0
Anytime Fitness Alexis,Overall Experience,16,0.5034072916666665,81.25,12.5
Anytime Fitness Alexis,Policies/Contract,2,0.5606,100.0,0.0
Anytime Fitness Alexis,Price/Fees,1,0.0,0.0,0.0
Anytime Fitness Pasir Panjang,Overall Experience,202,0.5704757425742575,98.51,0.99
Anytime Fitness Pasir Panjang,Staff/Service,246,0.6487097696476964,96.34,1.63
Anytime Fitness Pasir Panjang,Equipment,129,0.4345572812846069,71.32,1.55
Anytime Fitness Pasir Panjang,Facilities,221,0.4372530316742081,74.21,1.81
Anytime Fitness Pasir Panjang,Classes/Programs,30,0.46413166666666666,76.67,3.33
Anytime Fitness Pasir Panjang,Crowdedness,46,0.260320652173913,54.35,8.7
Anytime Fitness Pasir Panjang,Location/Accessibility,61,0.3205008196721312,62.3,1.64
Anytime Fitness Pasir Panjang,Cleanliness,115,0.577092811594203,93.91,2.61
Anytime Fitness Pasir Panjang,Price/Fees,18,0.09712129629629629,44.44,22.22
Anytime Fitness Pasir Panjang,Policies/Contract,16,0.41513125,87.5,12.5
Anytime Fitness Sengkang Rivervale,Equipment,49,0.38518843537414965,71.43,8.16
Anytime Fitness Sengkang Rivervale,Crowdedness,21,0.1249595238095238,38.1,9.52
Anytime Fitness Sengkang Rivervale,Location/Accessibility,33,0.37794949494949487,69.7,9.09
Anytime Fitness Sengkang Rivervale,Overall Experience,169,0.5765865384615385,97.04,0.0
Anytime Fitness Sengkang Rivervale,Staff/Service,193,0.6280252751048606,93.78,2.07
Anytime Fitness Sengkang Rivervale,Facilities,57,0.5536470175438597,82.46,7.02
Anytime Fitness Sengkang Rivervale,Classes/Programs,21,0.41058888888888895,76.19,14.29
Anytime Fitness Sengkang Rivervale,Cleanliness,48,0.640796875,93.75,4.17
Anytime Fitness Sengkang Rivervale,Price/Fees,29,0.3634057471264367,65.52,6.9
Anytime Fitness Sengkang Rivervale,Policies/Contract,10,0.4029183333333333,80.0,20.0
Anytime Fitness Punggol Oasis,Overall Experience,221,0.5615055052790346,93.67,4.07
Anytime Fitness Punggol Oasis,Staff/Service,222,0.6531469809094808,95.05,3.6
Anytime Fitness Punggol Oasis,Equipment,62,0.4812816397849463,80.65,11.29
Anytime Fitness Punggol Oasis,Facilities,86,0.5827693798449611,91.86,1.16
Anytime Fitness Punggol Oasis,Location/Accessibility,48,0.5057822916666667,83.33,2.08
Anytime Fitness Punggol Oasis,Cleanliness,57,0.6072385964912281,94.74,3.51
Anytime Fitness Punggol Oasis,Classes/Programs,29,0.5420775862068965,79.31,3.45
Anytime Fitness Punggol Oasis,Price/Fees,14,0.2976803571428572,78.57,21.43
Anytime Fitness Punggol Oasis,Crowdedness,21,0.2747476190476191,57.14,9.52
Anytime Fitness Punggol Oasis,Policies/Contract,17,0.38602941176470584,76.47,23.53
Anytime Fitness Tampines,Cleanliness,63,0.6083904761904761,98.41,0.0
Anytime Fitness Tampines,Location/Accessibility,23,0.4520804347826088,78.26,4.35
Anytime Fitness Tampines,Overall Experience,109,0.5292887308868501,96.33,1.83
Anytime Fitness Tampines,Equipment,46,0.41004673913043477,73.91,8.7
Anytime Fitness Tampines,Facilities,77,0.4812896103896103,88.31,0.0
Anytime Fitness Tampines,Staff/Service,208,0.611766907051282,94.23,2.4
Anytime Fitness Tampines,Crowdedness,13,0.29712692307692307,69.23,15.38
Anytime Fitness Tampines,Price/Fees,27,0.30895370370370373,70.37,11.11
Anytime Fitness Tampines,Classes/Programs,7,0.3781738095238095,71.43,0.0
Anytime Fitness Tampines,Policies/Contract,9,0.21250925925925923,66.67,11.11
Anytime Fitness Bedok 85,Staff/Service,532,0.6545511121553885,96.62,0.38
Anytime Fitness Bedok 85,Equipment,81,0.5620987654320988,87.65,0.0
Anytime Fitness Bedok 85,Cleanliness,143,0.6328886946386947,96.5,2.1
Anytime Fitness Bedok 85,Location/Accessibility,54,0.41746975308641976,70.37,1.85
Anytime Fitness Bedok 85,Facilities,109,0.5274665137614678,86.24,1.83
Anytime Fitness Bedok 85,Price/Fees,84,0.4320854761904762,73.81,0.0
Anytime Fitness Bedok 85,Policies/Contract,34,0.5748941176470589,88.24,0.0
Anytime Fitness Bedok 85,Overall Experience,160,0.659605625,98.75,0.0
Anytime Fitness Bedok 85,Crowdedness,18,0.2386018518518519,50.0,0.0
Anytime Fitness Bedok 85,Classes/Programs,10,0.37457999999999997,80.0,0.0
Anytime Fitness Siglap CC,Staff/Service,62,0.6494185483870967,91.94,3.23
Anytime Fitness Siglap CC,Equipment,20,0.4122578571428571,75.0,10.0
Anytime Fitness Siglap CC,Facilities,17,0.5185833333333333,82.35,0.0
Anytime Fitness Siglap CC,Location/Accessibility,12,0.49717083333333334,66.67,0.0
Anytime Fitness Siglap CC,Cleanliness,19,0.6748342105263158,100.0,0.0
Anytime Fitness Siglap CC,Price/Fees,3,0.18176666666666666,100.0,0.0
Anytime Fitness Siglap CC,Overall Experience,32,0.5878208333333333,90.62,3.12
Anytime Fitness Siglap CC,Classes/Programs,3,0.7375999999999999,100.0,0.0
Anytime Fitness Siglap CC,Policies/Contract,2,0.5656,100.0,0.0
Anytime Fitness Siglap CC,Crowdedness,3,0.5403,66.67,0.0
Anytime Fitness Choa Chu Kang,Staff/Service,54,0.4210802469135801,81.48,14.81
Anytime Fitness Choa Chu Kang,Cleanliness,16,0.475271875,81.25,12.5
Anytime Fitness Choa Chu Kang,Equipment,23,0.3163717391304347,56.52,8.7
Anytime Fitness Choa Chu Kang,Facilities,22,0.3387704545454545,68.18,18.18
Anytime Fitness Choa Chu Kang,Policies/Contract,8,0.228175,62.5,25.0
Anytime Fitness Choa Chu Kang,Overall Experience,36,0.43043194444444444,80.56,16.67
Anytime Fitness Choa Chu Kang,Classes/Programs,2,0.0,0.0,0.0
Anytime Fitness Choa Chu Kang,Location/Accessibility,7,0.38590714285714284,71.43,14.29
Anytime Fitness Choa Chu Kang,Price/Fees,9,0.0048388888888888865,33.33,33.33
